Year,Month,Day,Open,High,Low,Close,Volume,Adjusted,Rolling_Mean,Standard_dev,upper,lower,indicator
2010,9,15,479.95,481.89,478.5,480.64,2402800,480.64,465.9595,11.0324051274,476.9919051274,454.9270948726,1.3306708583
2010,9,14,482.01,484.75,480.08,480.43,2216500,480.43,466.4535,11.9106004422,478.3641004422,454.5428995578,1.1734504963
2010,9,13,480.9,484.35,479.53,482.27,2241500,482.27,466.7115,12.2794596465,478.9909596465,454.4320403535,1.2670345803
2010,9,10,479.02,479.79,475.08,476.14,1974300,476.14,466.9155,12.5817095629,479.4972095629,454.3337904371,0.7331674566
2010,9,9,477.83,480.4,470.58,476.18,2430600,476.18,467.709,13.6492501818,481.3582501818,454.0597498182,0.6206201723
2010,9,8,465.19,472.5,464.51,470.58,2401800,470.58,468.487,14.5699113533,483.0569113533,453.9170886467,0.1436522124
2010,9,7,464.5,467.59,463.02,464.4,1709900,464.4,470.1435,16.5668712782,486.7103712782,453.5766287218,-0.346685859
2010,9,3,470.52,471.88,467.44,470.3,2540400,470.3,472.191,18.2633195518,490.4543195518,453.9276804482,-0.1035408702
2010,9,2,462.84,464.43,460.31,463.18,1684200,463.18,473.687,19.2964635702,492.9834635702,454.3905364298,-0.5445039171
2010,9,1,454.98,464.94,452.5,460.33,3228300,460.33,475.933,20.5806293955,496.5136293955,455.3523706045,-0.7581400792
2010,8,31,450.11,454.87,448,450.02,1946800,450.02,478.2325,21.3021446598,499.5346446598,456.9303553402,-1.3243971652
2010,8,30,459.15,459.76,452.42,452.69,1231400,452.69,480.223,20.3665890227,500.5895890227,459.8564109773,-1.3518709475
2010,8,27,452.56,459.99,447.65,458.83,2312400,458.83,482.109,19.406632046,501.515632046,462.702367954,-1.1995383818
2010,8,26,456.06,457.26,450.44,450.98,1777000,450.98,483.41,18.6201351117,502.0301351117,464.7898648883,-1.7416629796
2010,8,25,450,457.81,450,454.62,2592100,454.62,485.1105,16.9836402629,502.0941402629,468.1268597371,-1.795286495
2010,8,24,457.7,458.37,450.92,451.39,2762700,451.39,486.597,15.4018980717,501.9988980717,471.1951019283,-2.2858870924
2010,8,23,461.5,468.25,457.73,464.07,2986200,464.07,488.659,13.0161401426,501.6751401426,475.6428598574,-1.8891161074
2010,8,20,467.97,471.59,461.02,462.02,3917600,462.02,489.904,11.6606749827,501.5646749827,478.2433250173,-2.3912852422
2010,8,19,481.01,482.51,467.25,467.97,3925000,467.97,491.306,9.6426963908,500.9486963908,481.6633036092,-2.4200699736
2010,8,18,490.44,490.87,481.55,482.15,2686400,482.15,492.148,8.1113958822,500.2593958822,484.0366041178,-1.2325868624
2010,8,17,488.53,494.7,486.03,490.52,1890700,490.52,491.9155,8.4716955831,500.3871955831,483.4438044169,-0.1647249935
2010,8,16,483.68,489.87,480.5,485.59,1305000,485.59,491.469,8.7788747031,500.2478747031,482.6901252969,-0.6696758068
2010,8,13,489,491.19,486.01,486.35,1934700,486.35,490.4985,10.3883478627,500.8868478627,480.1101521373,-0.3993416523
2010,8,12,483.94,494.75,482.51,492.01,2204600,492.01,489.1615,12.4637910407,501.6252910407,476.6977089593,0.2285420215
2010,8,11,497.73,498,491.5,491.74,2223000,491.74,489.262,12.4960303592,501.7580303592,476.7659696408,0.1983029753
2010,8,10,502.35,506,498.57,503.71,2074000,503.71,489.242,12.4921750666,501.7341750666,476.7498249334,1.1581650051
2010,8,9,502.25,505.5,501.36,505.35,1872200,505.35,488.5165,12.0201279768,500.5366279768,476.4963720232,1.4004426602
2010,8,6,505.4,505.74,496.05,500.22,3319500,500.22,487.0405,11.6510561866,498.6915561866,475.3894438134,1.1311850006
2010,8,5,505.89,508.6,503.56,508.1,2420400,508.1,485.404,11.9959538793,497.3999538793,473.4080461207,1.891971262
